
Reading uwg file input.

Simulating new temperature and humidity values for 31 days from 12/1.

New climate file 'SGP_Singapore.486980_IWEC_UWG.epw' is generated at /home/gao/Documents/urbanWeatherGen/resources/epw_uwg.
         6968835 function calls (6968754 primitive calls) in 7.226 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8768    0.002    0.000    0.002    0.000 {method 'write' of 'file' objects}
     8931    0.002    0.000    0.002    0.000 {method 'release' of 'thread.lock' objects}
     8928    0.002    0.000    0.002    0.000 {math.floor}
     8929    0.002    0.000    0.002    0.000 {math.ceil}
     4464    0.001    0.000    0.001    0.000 {math.tan}
     4464    0.001    0.000    0.001    0.000 {math.acos}
     2982    0.001    0.000    0.001    0.000 {hasattr}
     2119    0.001    0.000    0.001    0.000 UWG/UBLDef.py:43(is_near_zero)
      744    0.001    0.000    0.001    0.000 UWG/psychrometrics.py:69(HumFromRHumTemp)
     4464    0.001    0.000    0.001    0.000 {math.asin}
    17656    0.001    0.000    0.001    0.000 UWG/utilities.py:19(<lambda>)
        2    0.000    0.000    0.001    0.000 UWG/RSMDef.py:39(__init__)
        1    0.000    0.000    0.000    0.000 UWG/UWG.py:391(set_input)
        1    0.000    0.000    0.000    0.000 UWG/UWG.py:254(read_input)
     3104    0.000    0.000    0.000    0.000 {id}
        7    0.000    0.000    0.000    0.000 {open}
        7    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
     82/1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/copy.py:145(deepcopy)
        2    0.000    0.000    0.000    0.000 UWG/RSMDef.py:130(load_z_meso)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/copy.py:253(_deepcopy_dict)
        8    0.000    0.000    0.000    0.000 {reduce}
        1    0.000    0.000    0.000    0.000 UWG/UWG.py:100(__init__)
        2    0.000    0.000    0.000    0.000 UWG/forcing.py:23(__init__)
        7    0.000    0.000    0.000    0.000 /home/gao/Documents/urbanWeatherGen/lib/python2.7/genericpath.py:23(exists)
        3    0.000    0.000    0.000    0.000 UWG/UWG.py:306(<lambda>)
       16    0.000    0.000    0.000    0.000 UWG/UWG.py:311(<lambda>)
        1    0.000    0.000    0.000    0.000 UWG/UBLDef.py:25(__init__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python2.7/copy.py:226(_deepcopy_list)
        7    0.000    0.000    0.000    0.000 {posix.stat}
        3    0.000    0.000    0.000    0.000 UWG/element.py:39(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:1507(basicConfig)
        2    0.000    0.000    0.000    0.000 UWG/UWG.py:813(procMat)
      195    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      152    0.000    0.000    0.000    0.000 UWG/UWG.py:787(<lambda>)
